OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100100,Sample-Routine,Water,Surface Water,2020-11-12,01:20:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649500,,,Peak stage,Storm,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",,Escherichia coli,,17000,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,holding time exceeded,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02000388,Quality Control Sample-Field Replicate,Water,Surface Water,2020-02-03,11:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01651800,,,"Stable, normal stage",Routine sample,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,,Escherichia coli,,580,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02000501,Sample-Routine,Water,Surface Water,2020-02-06,15:40:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649500,L-0420079 Date on bottle set is 02/06/2020. Date changed from 2020/2/13 to 2020/2/06. CBK. 2/12/20,,Rising stage,Routine sample,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",,Escherichia coli,,4300,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,holding time exceeded,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02000489,Quality Control Sample-Field Replicate,Water,Surface Water,2020-02-06,13:44:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01651800,,,Rising stage,Storm,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,,Escherichia coli,,8900,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02001180,Sample-Routine,Water,Surface Water,2020-09-30,09:15:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649500,,,Falling stage,Storm,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",,Escherichia coli,,2400,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,holding time exceeded,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02000762,Sample-Routine,Water,Surface Water,2020-05-12,11:20:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01651800,,,Not applicable,Routine sample,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,,Escherichia coli,,190,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02001021,Sample-Routine,Water,Surface Water,2020-07-22,00:25:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649500,,,Falling stage,Storm,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",,Escherichia coli,,23000,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02001101,Sample-Routine,Water,Surface Water,2020-09-09,13:46:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01651800,,,"Stable, normal stage",Not applicable,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,,Escherichia coli,,820,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02000763,Sample-Routine,Water,Surface Water,2020-05-12,11:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01651800,,,"Stable, normal stage",Routine sample,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,,Escherichia coli,,250,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02001030,Sample-Routine,Water,Surface Water,2020-08-04,12:14:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01651800,,,Falling stage,Storm,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81,,Escherichia coli,,19000,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
